"Season","Week","DateTime","Away","Away.Pts","Away.Yds","Away.TOs","Home","Home.Pts","Home.Yds","Home.TOs","Home.Spread","Game.Spread","Game.Total"
2000,5,2000-10-01 16:15:00,"ARI",20,365,2,"SF",27,345,1,-7,7,47
2000,5,2000-10-01 16:15:00,"CHI",27,370,0,"GB",24,364,3,3,3,51
2000,5,2000-10-01 16:15:00,"TB",17,255,2,"WAS",20,330,1,-3,3,37
2000,5,2000-10-01 20:36:00,"ATL",10,200,1,"PHI",38,502,3,-28,28,48
2000,5,2000-10-02 21:00:00,"SEA",17,289,2,"KC",24,378,0,-7,7,41
2000,6,2000-10-08 13:00:00,"TEN",23,417,2,"CIN",14,213,2,9,9,37
2000,6,2000-10-08 13:01:00,"GB",24,339,5,"DET",31,253,1,-7,7,55
2000,6,2000-10-08 13:01:00,"PIT",20,330,0,"NYJ",3,206,4,17,17,23
2000,6,2000-10-08 13:02:00,"BUF",13,254,2,"MIA",22,254,1,-9,9,35
2000,6,2000-10-08 13:02:00,"IND",16,408,3,"NE",24,301,0,-8,8,40
2000,6,2000-10-08 13:02:00,"WAS",17,407,2,"PHI",14,274,4,3,3,31
2000,6,2000-10-08 13:03:00,"NO",31,403,1,"CHI",10,245,3,21,21,41
2000,6,2000-10-08 16:00:00,"LV",34,471,2,"SF",28,472,2,6,6,62
2000,6,2000-10-08 16:05:00,"NYG",13,255,2,"ATL",6,238,3,7,7,19
2000,6,2000-10-08 16:15:00,"CLE",21,240,0,"ARI",29,315,2,-8,8,50
2000,6,2000-10-08 16:15:00,"DEN",21,304,0,"LAC",7,277,3,14,14,28
2000,6,2000-10-08 16:15:00,"SEA",3,209,0,"CAR",26,447,1,-23,23,29
2000,6,2000-10-08 20:35:00,"BAL",15,194,1,"JAC",10,348,6,5,5,25
2000,6,2000-10-09 21:10:00,"TB",23,346,3,"MIN",30,322,2,-7,7,53
2000,7,2000-10-15 13:00:00,"LV",20,391,1,"KC",17,346,1,3,3,37
2000,7,2000-10-15 13:01:00,"BAL",3,199,1,"WAS",10,246,2,-7,7,13
2000,7,2000-10-15 13:01:00,"CIN",0,232,3,"PIT",15,274,0,-15,15,15
2000,7,2000-10-15 13:01:00,"LAC",24,303,4,"BUF",27,424,2,-3,3,51
2000,7,2000-10-15 13:02:00,"ATL",29,259,1,"LAR",45,529,1,-16,16,74
2000,7,2000-10-15 13:03:00,"DAL",14,269,5,"NYG",19,311,0,-5,5,33
2000,7,2000-10-15 13:04:00,"CAR",6,141,2,"NO",24,397,3,-18,18,30
2000,7,2000-10-15 16:05:00,"IND",37,499,1,"SEA",24,317,3,13,13,61
2000,7,2000-10-15 16:05:00,"NYJ",34,294,1,"NE",17,249,6,17,17,51
2000,7,2000-10-15 16:06:00,"CLE",10,278,3,"DEN",44,499,0,-34,34,54
2000,7,2000-10-15 16:15:00,"PHI",33,391,0,"ARI",14,305,3,19,19,47
2000,7,2000-10-15 16:15:00,"SF",28,414,0,"GB",31,378,0,-3,3,59
2000,7,2000-10-15 20:35:00,"MIN",28,368,1,"CHI",16,294,0,12,12,44
2000,7,2000-10-16 21:10:00,"JAC",13,304,2,"TEN",27,409,1,-14,14,40
2000,8,2000-10-19 20:35:00,"DET",28,277,0,"TB",14,258,4,14,14,42
2000,8,2000-10-22 13:00:00,"ARI",7,276,3,"DAL",48,347,0,-41,41,55
2000,8,2000-10-22 13:00:00,"DEN",21,500,3,"CIN",31,421,1,-10,10,52
2000,8,2000-10-22 13:00:00,"NE",23,386,1,"IND",30,398,1,-7,7,53
